sales_id,date,store_id,product_id,customer_id,quantity,unit_price,discount,total_price
1,2023-06-30,6,117,781,5,468.93,0,2344.65
2,2025-02-06,13,29,607,3,81.66,0.15,208.23
3,2024-02-08,20,123,794,5,189.74,0.05,901.26
4,2025-02-21,18,136,453,4,19.05,0.1,68.58
5,2025-06-06,14,132,341,2,314.61,0,629.22
6,2025-04-16,14,96,471,1,108.38,0.1,97.54
7,2024-04-12,7,143,230,4,12.41,0,49.64
8,2025-04-08,7,200,587,1,206.58,0,206.58
9,2024-01-30,7,43,7,4,400.64,0.05,1522.43
10,2024-01-02,7,92,695,4,184.75,0,739.0
11,2024-12-08,13,56,216,5,19.01,0.1,85.55
12,2024-01-01,15,65,949,4,445.56,0.1,1604.02
13,2024-06-24,6,131,401,5,333.81,0,1669.05
14,2024-01-11,18,145,689,4,289.36,0.1,1041.7
15,2024-08-02,14,124,480,2,285.76,0,571.52
16,2024-06-06,15,162,299,4,74.64,0.15,253.78
17,2023-11-06,20,15,270,4,129.95,0.1,467.82
18,2025-01-03,20,81,592,3,309.89,0,929.67
19,2024-11-21,11,8,698,3,204.5,0.05,582.82
20,2024-04-09,19,4,298,3,323.22,0.1,872.69
21,2024-01-02,8,31,885,4,438.85,0,1755.4
22,2025-01-03,17,120,454,5,85.14,0.1,383.13
23,2024-02-26,19,115,306,4,55.12,0.1,198.43
24,2025-02-17,12,85,833,2,124.6,0.05,236.74
25,2024-07-14,3,14,883,4,276.66,0.05,1051.31
26,2023-12-04,8,147,492,3,107.22,0.15,273.41
27,2024-01-08,7,77,954,1,373.36,0.1,336.02
28,2025-03-20,5,42,354,4,255.34,0.1,919.22
29,2025-02-03,17,5,926,4,153.29,0.05,582.5
30,2024-05-01,19,112,6,1,123.87,0.1,111.48
31,2024-02-27,16,36,470,5,470.68,0.05,2235.73
32,2024-06-28,16,61,836,4,215.1,0.05,817.38
33,2025-05-23,1,15,109,5,129.95,0.15,552.29
34,2024-06-27,9,133,845,5,144.29,0.1,649.3
35,2024-09-23,9,79,245,2,118.16,0.05,224.5
36,2023-10-10,8,1,112,1,137.79,0,137.79
37,2024-08-19,19,117,464,1,468.93,0.1,422.04
38,2025-05-30,4,27,346,2,330.89,0.05,628.69
39,2023-09-10,14,62,87,5,178.11,0.05,846.02
40,2025-05-11,5,52,69,5,223.75,0,1118.75
41,2024-06-19,19,107,226,5,168.54,0.15,716.29
42,2023-07-29,20,110,930,3,56.18,0.15,143.26
43,2023-08-06,16,138,629,1,122.8,0.05,116.66
44,2024-05-21,2,37,466,1,55.16,0.1,49.64
45,2024-03-22,18,191,520,2,212.28,0.1,382.1
46,2024-09-03,8,156,915,1,344.33,0.15,292.68
47,2023-11-08,11,166,292,5,62.74,0,313.7
48,2025-04-22,9,59,840,5,297.46,0,1487.3
49,2024-06-18,10,20,896,4,462.35,0.1,1664.46
50,2024-02-27,7,187,551,3,219.73,0.1,593.27
51,2024-06-07,19,27,186,1,330.89,0.05,314.35
52,2024-07-03,17,3,676,4,214.79,0.1,773.24
53,2023-12-12,10,2,969,3,378.38,0.1,1021.63
54,2023-07-31,20,108,468,3,476.17,0.1,1285.66
55,2025-03-11,14,59,949,3,297.46,0.05,847.76
56,2023-11-24,10,137,806,4,215.97,0,863.88
57,2024-12-04,2,163,326,5,432.02,0,2160.1
58,2023-09-17,8,124,536,1,285.76,0.1,257.18
59,2025-05-29,1,154,369,1,287.64,0.1,258.88
60,2024-07-31,11,154,521,4,287.64,0.15,977.98
61,2024-05-10,15,166,265,1,62.74,0.15,53.33
62,2023-06-30,14,72,376,5,388.57,0,1942.85
63,2023-09-20,13,65,292,3,445.56,0.15,1136.18
64,2025-04-25,12,76,850,5,333.34,0.05,1583.36
65,2023-12-02,9,198,685,4,490.63,0.05,1864.39
66,2024-04-10,1,190,112,3,311.88,0,935.64
67,2025-02-02,3,23,339,1,325.25,0.05,308.99
68,2024-07-14,3,193,544,1,163.48,0.05,155.31
69,2023-12-17,7,36,722,3,470.68,0.15,1200.23
70,2024-08-16,2,142,278,5,135.44,0.05,643.34
71,2023-08-16,3,17,742,4,356.31,0,1425.24
72,2024-01-25,9,181,669,2,134.38,0.1,241.88
73,2024-12-20,4,117,498,1,468.93,0,468.93
74,2024-09-12,1,194,689,3,97.18,0.15,247.81
75,2025-01-15,8,141,496,3,431.62,0,1294.86
76,2024-05-25,11,73,747,5,494.92,0.1,2227.14
77,2024-07-13,1,131,290,4,333.81,0,1335.24
78,2023-11-23,5,7,724,3,93.61,0,280.83
79,2025-02-11,13,89,74,5,423.61,0.15,1800.34
80,2024-01-23,18,191,967,3,212.28,0,636.84
81,2023-10-01,7,194,476,4,97.18,0.1,349.85
82,2025-03-04,11,100,436,3,231.03,0,693.09
83,2023-11-05,8,79,615,5,118.16,0.15,502.18
84,2024-08-29,12,73,852,2,494.92,0.15,841.36
85,2024-05-01,6,30,950,1,426.81,0.15,362.79
86,2024-06-09,19,31,858,4,438.85,0.15,1492.09
87,2023-09-02,16,16,564,4,95.49,0,381.96
88,2024-01-25,2,163,990,1,432.02,0.1,388.82
89,2023-11-26,12,178,582,3,400.14,0.1,1080.38
90,2025-03-02,10,167,255,2,298.65,0.1,537.57
91,2023-12-22,2,129,416,1,356.99,0,356.99
92,2025-03-06,18,53,118,3,448.48,0.05,1278.17
93,2025-02-22,12,195,306,3,138.8,0.1,374.76
94,2024-11-27,18,31,587,3,438.85,0.1,1184.9
95,2024-07-17,3,39,226,2,420.7,0.05,799.33
96,2025-01-17,17,18,564,4,101.58,0.1,365.69
97,2025-02-20,3,102,710,5,159.28,0.1,716.76
98,2023-11-12,7,16,913,5,95.49,0.15,405.83
99,2024-02-03,8,37,221,5,55.16,0.15,234.43
100,2025-03-23,4,163,38,3,432.02,0,1296.06
101,2025-05-27,13,132,465,5,314.61,0.15,1337.09
102,2024-01-15,2,124,203,2,285.76,0.1,514.37
103,2024-08-13,5,60,374,3,487.04,0.1,1315.01
104,2024-07-06,10,177,365,4,316.28,0.05,1201.86
105,2023-07-12,20,168,851,2,118.03,0.15,200.65
106,2024-03-03,8,178,334,5,400.14,0.05,1900.66
107,2024-07-26,4,59,12,1,297.46,0.1,267.71
108,2024-11-19,4,101,576,4,29.55,0,118.2
109,2024-11-27,18,30,653,5,426.81,0,2134.05
110,2024-02-09,15,140,564,4,105.09,0,420.36
111,2024-07-25,15,21,526,1,388.26,0,388.26
112,2024-08-12,13,95,521,2,251.34,0,502.68
113,2025-01-18,18,164,467,1,195.94,0.15,166.55
114,2024-08-05,4,8,545,1,204.5,0.15,173.82
115,2024-05-24,3,81,514,1,309.89,0.1,278.9
116,2025-06-09,1,178,719,3,400.14,0.1,1080.38
117,2024-09-29,1,171,762,4,328.0,0,1312.0
118,2024-08-16,1,156,448,2,344.33,0.1,619.79
119,2025-04-05,17,153,733,5,178.79,0.15,759.86
120,2024-06-28,8,141,920,4,431.62,0,1726.48
121,2025-06-13,6,120,786,4,85.14,0.1,306.5
122,2024-02-14,4,145,692,2,289.36,0.1,520.85
123,2023-11-14,10,4,100,4,323.22,0.05,1228.24
124,2025-04-01,3,23,439,2,325.25,0,650.5
125,2023-07-27,12,110,979,1,56.18,0.15,47.75
126,2023-09-14,14,107,44,5,168.54,0,842.7
127,2024-02-17,6,100,22,2,231.03,0.15,392.75
128,2024-02-08,3,129,655,1,356.99,0.1,321.29
129,2025-06-15,5,47,999,3,156.65,0.1,422.96
130,2023-09-01,9,65,246,1,445.56,0.15,378.73
131,2023-12-11,15,181,441,1,134.38,0.15,114.22
132,2024-07-28,11,161,486,3,22.42,0.1,60.53
133,2023-08-12,4,97,533,4,173.52,0.05,659.38
134,2024-03-01,17,128,517,5,232.73,0.05,1105.47
135,2024-01-05,10,149,639,3,320.59,0.15,817.5
136,2025-03-08,18,109,150,3,38.36,0.05,109.33
137,2023-08-11,11,81,528,1,309.89,0.15,263.41
138,2025-03-15,10,155,448,1,412.28,0.15,350.44
139,2024-10-24,13,105,721,5,361.73,0,1808.65
140,2024-07-09,5,173,145,3,483.66,0.05,1378.43
141,2025-04-19,8,26,934,5,250.72,0.1,1128.24
142,2024-05-22,10,3,408,2,214.79,0.1,386.62
143,2023-09-05,13,161,913,2,22.42,0,44.84
144,2024-11-13,2,136,422,2,19.05,0.1,34.29
145,2023-08-23,7,196,406,2,394.27,0.05,749.11
146,2024-02-13,7,157,717,2,117.17,0,234.34
147,2024-04-19,13,39,588,2,420.7,0.05,799.33
148,2023-12-17,15,74,712,5,99.16,0.15,421.43
149,2024-08-08,17,49,625,2,52.9,0.1,95.22
150,2024-07-05,15,9,508,3,200.4,0.1,541.08
151,2025-05-08,6,135,736,2,197.11,0.1,354.8
152,2024-01-25,3,178,701,2,400.14,0.15,680.24
153,2024-06-07,14,165,435,2,17.55,0.05,33.34
154,2024-03-21,3,147,899,2,107.22,0.1,193.0
155,2023-11-04,7,97,928,4,173.52,0.15,589.97
156,2024-09-15,13,193,16,5,163.48,0,817.4
157,2023-08-01,5,85,647,1,124.6,0.1,112.14
158,2024-01-26,17,1,778,5,137.79,0.1,620.05
159,2025-06-17,12,169,218,1,487.7,0.15,414.54
160,2023-12-12,14,106,367,3,448.21,0.1,1210.17
161,2024-03-12,16,26,391,1,250.72,0.15,213.11
162,2023-09-13,15,63,754,5,146.87,0,734.35
163,2024-01-01,15,4,738,2,323.22,0.15,549.47
164,2025-01-06,15,96,21,1,108.38,0.05,102.96
165,2024-01-14,12,104,699,3,141.26,0.05,402.59
166,2023-07-17,5,18,994,4,101.58,0.05,386.0
167,2024-02-23,16,134,358,5,249.91,0.05,1187.07
168,2025-04-13,19,180,699,2,147.19,0.05,279.66
169,2024-06-01,7,125,28,3,483.29,0.15,1232.39
170,2024-11-25,9,88,456,5,221.75,0.1,997.88
171,2024-02-15,4,55,315,2,71.43,0.15,121.43
172,2023-12-04,2,106,333,3,448.21,0.05,1277.4
173,2023-08-02,20,22,570,2,325.35,0.1,585.63
174,2024-06-25,11,15,931,3,129.95,0.15,331.37
175,2025-02-26,7,172,152,5,322.56,0.15,1370.88
176,2023-09-12,4,141,448,5,431.62,0.05,2050.19
177,2024-03-19,5,165,348,4,17.55,0,70.2
178,2023-12-09,17,196,235,3,394.27,0.15,1005.39
179,2023-07-03,7,13,635,4,171.52,0,686.08
180,2024-11-20,4,82,350,4,176.45,0.05,670.51
181,2025-01-04,7,173,468,5,483.66,0,2418.3
182,2023-11-03,17,159,984,4,290.17,0.05,1102.65
183,2025-05-29,14,181,821,5,134.38,0,671.9
184,2023-07-04,3,157,59,4,117.17,0.1,421.81
185,2023-11-28,8,164,146,4,195.94,0,783.76
186,2025-04-04,11,186,707,1,101.66,0.1,91.49
187,2024-07-01,3,188,735,4,351.08,0.1,1263.89
188,2024-11-02,1,23,735,3,325.25,0.1,878.18
189,2023-11-23,1,119,189,2,324.08,0.15,550.94
190,2024-01-24,3,200,633,2,206.58,0.05,392.5
191,2024-09-14,16,44,618,1,440.85,0,440.85
192,2024-10-10,2,62,613,2,178.11,0.1,320.6
193,2024-04-12,10,152,378,1,212.66,0.05,202.03
194,2025-02-14,1,174,189,2,18.78,0.15,31.93
195,2025-05-22,14,129,190,3,356.99,0.15,910.32
196,2025-02-09,1,154,770,1,287.64,0.1,258.88
197,2024-03-28,10,40,799,5,273.23,0.15,1161.23
198,2025-04-01,17,51,276,2,452.52,0.1,814.54
199,2023-09-26,12,160,361,2,288.5,0.05,548.15
200,2025-03-16,13,187,376,5,219.73,0,1098.65
201,2025-05-10,15,78,287,5,138.76,0.1,624.42
202,2024-02-29,3,134,847,5,249.91,0,1249.55
203,2025-01-05,10,121,904,2,166.94,0.1,300.49
204,2023-10-14,1,145,575,4,289.36,0,1157.44
205,2025-05-08,17,35,806,5,131.83,0,659.15
206,2024-10-10,10,140,765,5,105.09,0,525.45
207,2024-11-11,3,3,359,3,214.79,0.1,579.93
208,2024-05-11,9,5,520,1,153.29,0.05,145.63
209,2025-02-24,18,104,579,4,141.26,0,565.04
210,2024-10-04,2,32,116,5,129.73,0.15,551.35
211,2025-05-20,3,94,953,3,49.48,0.15,126.17
212,2024-09-05,15,46,473,2,116.68,0.1,210.02
213,2023-07-10,15,114,633,3,163.26,0.1,440.8
214,2023-11-26,2,101,34,4,29.55,0.15,100.47
215,2025-05-31,6,140,372,1,105.09,0.15,89.33
216,2023-08-13,12,176,819,5,140.84,0.05,668.99
217,2023-07-08,11,68,709,5,485.01,0,2425.05
218,2024-08-22,14,117,249,2,468.93,0.15,797.18
219,2025-05-13,15,150,251,4,435.47,0.1,1567.69
220,2024-12-25,1,47,505,3,156.65,0.05,446.45
221,2024-07-05,15,120,222,2,85.14,0.1,153.25
222,2023-11-18,3,5,529,5,153.29,0.1,689.8
223,2024-11-21,3,55,646,2,71.43,0.1,128.57
224,2024-09-03,18,150,156,1,435.47,0.05,413.7
225,2025-01-27,20,115,233,1,55.12,0,55.12
226,2024-04-05,7,140,118,5,105.09,0.1,472.91
227,2024-11-26,12,178,96,2,400.14,0.15,680.24
228,2025-06-20,14,70,334,2,45.21,0.1,81.38
229,2024-08-09,14,112,693,5,123.87,0,619.35
230,2024-02-20,4,80,18,5,403.71,0.05,1917.62
231,2024-10-03,7,20,34,3,462.35,0.15,1178.99
232,2024-11-17,5,40,547,5,273.23,0.1,1229.54
233,2023-08-12,9,180,412,3,147.19,0,441.57
234,2023-07-31,20,149,641,3,320.59,0.15,817.5
235,2024-03-21,12,103,37,2,127.05,0.1,228.69
236,2025-04-02,9,17,238,2,356.31,0.1,641.36
237,2025-05-03,15,47,390,3,156.65,0.1,422.96
238,2023-08-13,17,133,631,2,144.29,0,288.58
239,2023-10-05,14,87,316,5,286.74,0.05,1362.01
240,2023-11-30,16,22,205,5,325.35,0.05,1545.41
241,2023-08-11,19,23,673,4,325.25,0,1301.0
242,2024-02-14,5,55,875,2,71.43,0.15,121.43
243,2024-08-07,3,35,494,5,131.83,0.1,593.24
244,2025-02-21,17,78,639,4,138.76,0,555.04
245,2025-03-15,19,10,229,1,196.75,0.05,186.91
246,2024-09-08,6,15,661,1,129.95,0.1,116.95
247,2025-02-07,12,153,888,3,178.79,0.15,455.91
248,2024-09-04,17,25,507,1,185.61,0.1,167.05
249,2024-12-24,8,137,145,3,215.97,0.05,615.51
250,2023-11-21,4,4,550,2,323.22,0.1,581.8
251,2023-07-18,8,119,256,2,324.08,0.05,615.75
252,2023-09-10,13,171,872,1,328.0,0.05,311.6
253,2023-11-17,10,100,419,3,231.03,0.1,623.78
254,2024-07-02,12,166,53,1,62.74,0.1,56.47
255,2023-06-25,2,89,508,3,423.61,0,1270.83
256,2024-05-02,19,71,720,2,353.51,0.15,600.97
257,2025-01-16,13,189,199,4,66.66,0.05,253.31
258,2025-06-21,18,159,297,2,290.17,0.1,522.31
259,2024-01-14,15,16,39,5,95.49,0,477.45
260,2025-03-07,4,112,121,5,123.87,0.15,526.45
261,2024-08-20,15,146,946,1,309.57,0,309.57
262,2023-12-13,17,3,335,5,214.79,0.15,912.86
263,2025-03-09,5,17,875,2,356.31,0.1,641.36
264,2023-11-12,10,101,972,3,29.55,0.1,79.79
265,2023-11-30,12,129,879,1,356.99,0.15,303.44
266,2024-08-20,5,192,939,5,465.39,0.1,2094.26
267,2025-04-11,2,154,710,3,287.64,0.1,776.63
268,2023-07-14,20,103,759,1,127.05,0.15,107.99
